,tweet id,text,created at,preprocessed tweets,sentiment scores,sentiment
0,1.00161e+18,"Pokemon Switch Reveal Today? https://t.co/SxpM6BPyY0 via @YouTube

Bring. It. On. #PokemonLetsGoPikachu #PokemonLetsGoEevee",2018-05-29 23:49:54+00:00,Pokemon Switch Reveal Today? http via @user It. On. #PokemonLetsGoPikachu #PokemonLetsGoEevee,[0.00236605 0.37814003 0.619494  ],Positive
1,1.00161e+18,@liftingandzombs Well then #PokemonLetsGoEevee and #PokemonLetsGoPikachu tonight,2018-05-29 23:48:03+00:00,@user Well then #PokemonLetsGoEevee and #PokemonLetsGoPikachu tonight,[0.0048385 0.4543705 0.540791 ],Positive
2,1.00161e+18,"@Bunnynaut I’m hearing so many things, but people seem to be pointing to something tonight. Apparently the OG Pokémon Lets Go leakers mentioned tonight and a people are going with it",2018-05-29 23:44:03+00:00,"@user I’m hearing so many things, but people seem to be pointing to something tonight. Apparently the OG Pokémon Lets Go leakers mentioned tonight and a people are going with it",[0.01146836 0.59128857 0.397243  ],Neutral
3,1.00161e+18,"Watch as everyone is wrong about Pokemon Switch being Pokemon Lets Go Pikachu and Eevee. Like how they were wrong with Pokemon Grey, Pokemon Z, and Pokemon Stars. I am certain 99.99%.",2018-05-29 23:43:21+00:00,"Watch as everyone is wrong about Pokemon Switch being Pokemon Lets Go Pikachu and Eevee. Like how they were wrong with Pokemon Grey, Pokemon Z, and Pokemon Stars. I am certain 99.99%.",[0.36317846 0.5197545  0.11706695],Neutral
4,1.00161e+18,"the gag of the century is if Pokemon Lets Go Eevee/Pikachu looks good, but I have a feeling it's going to be worse than ORAS/S&amp;M",2018-05-29 23:37:21+00:00,"the gag of the century is if Pokemon Lets Go Eevee/Pikachu looks good, but I have a feeling it's going to be worse than ORAS/S&amp;M",[0.65539104 0.24722849 0.09738048],Negative
5,1.00161e+18,Something big is going down Tonight #PokemonLetsGoEevee and #PokemonLetsGoPikachu https://t.co/QGUUOdjmiH,2018-05-29 23:35:53+00:00,Something big is going down Tonight #PokemonLetsGoEevee and #PokemonLetsGoPikachu http,[0.00217323 0.14662397 0.8512028 ],Positive
6,1.00161e+18,HYYYPEEE!!! #PokemonLetsGo https://t.co/7wxaplTdIJ,2018-05-29 23:32:46+00:00,HYYYPEEE!!! #PokemonLetsGo http,[0.00209064 0.05391809 0.94399124],Positive
7,1.00161e+18,"Pokemon Let's Go Pikachu, Pokemon Let's Go Eevee - Top 10 Predictions For Pokemon Nintendo Switch - https://t.co/kFbgj5M9CS",2018-05-29 23:27:46+00:00,"Pokemon Let's Go Pikachu, Pokemon Let's Go Eevee - Top 10 Predictions For Pokemon Nintendo Switch - http",[0.00319938 0.5137181  0.48308256],Neutral
8,1.0016e+18,So this #PokemonLetsGo hype is pretty fun but look at this McDonald's next Happy meal page! Why is it not revealed  even though it might not be about Pokemon but it could be https://t.co/wpDphPgQ1Z,2018-05-29 23:04:44+00:00,So this #PokemonLetsGo hype is pretty fun but look at this McDonald's next Happy meal page! Why is it not revealed  even though it might not be about Pokemon but it could be http,[0.06967738 0.24690509 0.68341756],Positive
9,1.0016e+18,Pokemon Lets Go! might be announced at 3:30am and I don’t know if I should stay away on the basis of a rumour https://t.co/7cZDwEG2SF,2018-05-29 23:01:40+00:00,Pokemon Lets Go! might be announced at 3:30am and I don’t know if I should stay away on the basis of a rumour http,[0.21926501 0.671243   0.10949203],Neutral
