,tweet id,text,created at,preprocessed tweets,sentiment scores,sentiment
0,1215057216786616322,Or sword/shield dlc,2020-01-08 23:46:29+00:00,Or sword/shield dlc,[0.04167503 0.8409192  0.1174058 ],Neutral
1,1215050258566148096,"I keep forgetting about this 😅
some think it's about Home &amp; Sleep, others about Sword &amp; Shield DLC, and (my favourites) the super optimistic ones that want remasters of classics on Switch, Stadium / Snap/ XD sequels!
...There's so much potential 😍",2020-01-08 23:18:50+00:00,"I keep forgetting about this 😅
some think it's about Home &amp; Sleep, others about Sword &amp; Shield DLC, and (my favourites) the super optimistic ones that want remasters of classics on Switch, Stadium / Snap/ XD sequels!
...There's so much potential 😍",[0.00957086 0.07775518 0.912674  ],Positive
2,1215028554385235974,"@Stealth40k Sword and shield dlc, new raid bosses and pokemon app for transferring pokemon pricing and release date. Thats it boys nothing good",2020-01-08 21:52:36+00:00,"@user Sword and shield dlc, new raid bosses and pokemon app for transferring pokemon pricing and release date. Thats it boys nothing good",[0.80229676 0.17864232 0.01906088],Negative
3,1214993065368178688,"@Stealth40k Sword &amp; Shield DLC, existing spin-offs porting to Switch from 3DS(or sequels like Snap 2, Conquest 2, Mystery Dungeons), and remake of Diamond &amp; Pearl",2020-01-08 19:31:34+00:00,"@user Sword &amp; Shield DLC, existing spin-offs porting to Switch from 3DS(or sequels like Snap 2, Conquest 2, Mystery Dungeons), and remake of Diamond &amp; Pearl",[0.00631205 0.76176065 0.23192745],Neutral
4,1214971205419257861,"Three predictions of the Pokemon Direct:

New Sword and Shield DLC adding raids and pokemon

Reveal of Lets Go, Gold and Silver

Announcement of a $10 a month subscription to get access to all current games and old ones up through Emerald",2020-01-08 18:04:43+00:00,"Three predictions of the Pokemon Direct:

New Sword and Shield DLC adding raids and pokemon

Reveal of Lets Go, Gold and Silver

Announcement of a $10 a month subscription to get access to all current games and old ones up through Emerald",[0.00851285 0.7686123  0.22287485],Neutral
5,1214962858355654656,"Pokemon Direct predictions

-Extensive information on Home (tutorials, launch date, etc.)
-Gigantamax Melmetal announced
-Sword and Shield patches/updates announced
-Sword and Shield DLC (nothing crazy big, small extra stories or something)
-Detective Pikachu 2 news",2020-01-08 17:31:33+00:00,"Pokemon Direct predictions

-Extensive information on Home (tutorials, launch date, etc.)
-Gigantamax Melmetal announced
-Sword and Shield patches/updates announced
-Sword and Shield DLC (nothing crazy big, small extra stories or something)
-Detective Pikachu 2 news",[0.00743799 0.83201015 0.16055173],Neutral
6,1214958649652723712,"@Stealth40k New Sword &amp; Shield DLC, maybe the Detective Pikachu release date and maybe a tease of a remake of two Pokémon classic games",2020-01-08 17:14:49+00:00,"@user New Sword &amp; Shield DLC, maybe the Detective Pikachu release date and maybe a tease of a remake of two Pokémon classic games",[0.00457622 0.76330197 0.23212177],Neutral
7,1214953911842414593,"@Stealth40k Detective Pikachu Switch footage and release date, Pokemon Home info, some Sword/Shield DLC or something and some kind of new reveal. Definitely not a third version, though.",2020-01-08 16:55:59+00:00,"@user Detective Pikachu Switch footage and release date, Pokemon Home info, some Sword/Shield DLC or something and some kind of new reveal. Definitely not a third version, though.",[0.01807687 0.8610416  0.12088144],Neutral
8,1214923691936628740,@sydewalkclosed @TheeDrewGamer @taechichu7 @pokeBALLZdeep @MetaMech @FastHotline @Stickykeyzgames @Nugs1337 Sword and Shield DLC would be sick!,2020-01-08 14:55:55+00:00,@user @user @user @user @user @user @user @user Sword and Shield DLC would be sick!,[0.00485087 0.04302258 0.9521266 ],Positive
9,1214920704631676928,Sword &amp; Shield DLC please. https://t.co/jZa2HDuzFS,2020-01-08 14:44:02+00:00,Sword &amp; Shield DLC please. http,[0.00887306 0.44512963 0.5459973 ],Positive
